video ID,uploader,age,category,length,views,rate,ratings,comments
R6dyqhQEEnA,tedibur2007,744.0,Film & Animation,433.0,2380.0,4.71,17.0,8.0
fR818_qz1Lc,powerlord13,744.0,Film & Animation,591.0,207.0,5.0,1.0,2.0
85w4GYbU9sk,Sayncom,745.0,Film & Animation,522.0,279.0,4.89,9.0,1.0
r4-ePwBXqVE,YagamiRaito2007,745.0,Film & Animation,384.0,3.0,0.0,0.0,0.0
djM2CspFEb8,Sayncom,745.0,Film & Animation,297.0,248.0,4.83,6.0,2.0
7MjZyONvTSQ,glass1212,744.0,Film & Animation,363.0,652.0,5.0,4.0,3.0
Bzt_79jiUdc,glass1212,744.0,Film & Animation,529.0,238.0,4.0,4.0,0.0
JCYeosE0sVs,YagamiRaito2007,745.0,Film & Animation,380.0,10.0,0.0,0.0,0.0
FqPeNe0mZN4,YagamiRaito2007,745.0,Film & Animation,380.0,14.0,5.0,1.0,2.0
VCJynbVekEs,Sayncom,745.0,Film & Animation,566.0,311.0,5.0,7.0,2.0
dHIvFJN6DfM,glass1212,744.0,Film & Animation,491.0,209.0,5.0,2.0,0.0
cxWUzCIxeTs,ThePatriotsMaxim,744.0,News & Politics,120.0,3543.0,4.6,108.0,68.0
d_H4q-jNgVU,ThePatriotsMaxim,744.0,News & Politics,70.0,2046.0,4.15,27.0,32.0
oSKlvDUEoSs,keep4b4ngin,744.0,Comedy,30.0,106.0,5.0,1.0,0.0
cm4zuKukUco,scottks5,638.0,News & Politics,268.0,11807.0,3.53,49.0,5.0
P1iQaRHU4cE,banterist,494.0,Comedy,209.0,5328.0,4.42,19.0,9.0
PVBABmTh-pE,DanyBustamante,628.0,Music,98.0,9931.0,4.08,24.0,9.0
NUT3Lvn3iDM,StEpHrBdReBeLdE,742.0,Music,450.0,663.0,5.0,4.0,0.0
R1cUwae72QY,andres3vacano,744.0,Film & Animation,646.0,945.0,5.0,4.0,2.0
EPIzEonZpgo,talytz,620.0,Entertainment,76.0,8388.0,4.95,21.0,0.0
ydLOYXkEBic,StEpHrBdReBeLdE,743.0,Entertainment,124.0,355.0,5.0,1.0,0.0
j6I7G7NdujA,hypermof0,713.0,Entertainment,20.0,2937.0,4.0,4.0,2.0
lklKQ9h6JvQ,Lauravic12,740.0,Music,450.0,982.0,5.0,7.0,4.0
1LNbIHN9Rtk,cherrynutchick19,736.0,Entertainment,30.0,1358.0,4.0,6.0,0.0
m2UPsxrWL3M,REBELDESIEMPRE20,684.0,Entertainment,71.0,12743.0,5.0,12.0,4.0
q8rbwoQun1I,RubensMEP,736.0,Comedy,30.0,1151.0,5.0,2.0,1.0
MHScD9ieUvQ,REBELDESIEMPRE20,684.0,Entertainment,52.0,4782.0,5.0,6.0,1.0
qBJybe46ukM,quatropods,741.0,Entertainment,34.0,571.0,5.0,2.0,0.0
7cYAqoJ89sk,carlalucia,736.0,Music,30.0,911.0,5.0,2.0,1.0
DurwYjia91w,quatropods,744.0,Entertainment,486.0,193.0,5.0,1.0,0.0
fnfyIkpraec,REBELDESIEMPRE20,684.0,Entertainment,33.0,4380.0,5.0,9.0,2.0
lgmZZx3jnik,juanzerolon,710.0,Music,20.0,918.0,5.0,3.0,1.0
Yul7FmCPJRM,mllb07783,742.0,Entertainment,20.0,288.0,0.0,0.0,0.0
HqprbhLKRV8,RubensMEP,715.0,Music,20.0,863.0,5.0,1.0,1.0
A6nCzO5_OYA,RubensMEP,706.0,Music,9.0,840.0,5.0,1.0,0.0
DLghP1pjYJY,RubensMEP,706.0,Music,9.0,502.0,0.0,0.0,0.0
shlgG1B4-Jk,friday250,744.0,Sports,41.0,202.0,0.0,0.0,0.0
oNMN5z0AivA,josenegrete,590.0,Music,220.0,294.0,4.38,8.0,3.0
t8sLHjZNdY0,supadiogo,529.0,Music,341.0,2546.0,4.29,7.0,2.0
eN9h_xuMZ6E,EltonBatata,729.0,News & Politics,110.0,216.0,0.0,0.0,0.0
3rLw_jgb5S4,EltonBatata,729.0,News & Politics,112.0,261.0,0.0,0.0,0.0
rkHMw93NeoU,magichappends,574.0,Music,530.0,2046.0,4.75,4.0,2.0
G4-WDF1MCbE,DECHARNEUX,588.0,Music,247.0,682.0,5.0,5.0,4.0
XL2TtpHiuis,magichappends,675.0,Music,404.0,424.0,3.67,3.0,1.0
k1UHwAWh2uE,uchihaelton,669.0,Film & Animation,43.0,608.0,2.5,2.0,1.0
jqaMZK9w2WI,magichappends,603.0,Music,279.0,1413.0,5.0,3.0,0.0
VIBgjyS_ipQ,octavius8th,402.0,Sports,418.0,2842.0,3.56,9.0,3.0
cmDwqlsxgkY,octavius8th,402.0,Sports,421.0,2392.0,4.5,8.0,0.0
5cnhUxpAbLk,Xmooth,446.0,Comedy,312.0,1187.0,4.6,5.0,1.0
0mTj26bcoz0,octavius8th,402.0,Sports,324.0,1110.0,4.0,2.0,0.0
q-EX9cQ_uwU,octavius8th,413.0,Sports,124.0,3320.0,0.0,0.0,0.0
nCYkAg1IJKc,octavius8th,563.0,Sports,335.0,486.0,5.0,3.0,2.0
a2W6ewkpYFc,paulkiske,593.0,Sports,78.0,1595.0,5.0,1.0,0.0
TnQ0s_g4b8Y,soypelopo82,745.0,Sports,111.0,23.0,0.0,0.0,0.0
y4T9Sgs1EVU,chusman1,743.0,People & Blogs,38.0,7453.0,4.75,4.0,2.0
